# Antenna Data
# This dataset contains measurements from various antennas, including their frequency, polarization, direction, impedance, signal-to-noise ratio (SNR), and gain.
# The dataset is used to analyze and predict antenna performance (Gain) based on these features.
#
Frequency,Polarization,Direction,Impedance,SNR,Gain
1.94E+05,Linear,0.35,45,132.699,2.31E+05
2.12E+00,Circular,0.35,46,115.6203,2.53E+05
3.19E+01,Linear,0.24,50,5.8086,1.71E+01
7.41E+03,Linear,0,52,,
1.03E+01,Circular,0.33,46,68.1171,2.83E+03
2.55E+01,Linear,0.27,51,13.1444,2.35E+01
9.43E+04,Linear,0.31,42,39.1059,1.32E+02
4.29E+02,Circular,0,50,,
8.50E+03,Linear,0.31,42,37.9898,3.44E+03
6.59E+00,Linear,0.34,54,98.6772,4.08E+05
2.27E+02,Linear,0,45,,
1.02E+02,Linear,-0.3,53,0,5.71E-01
1.11E+02,Linear,-0.39,51,0,1.44E+00
1.27E+06,Linear,0.35,52,113.2364,1.07E+05
5.74E+00,Circular,0.35,57,108.7739,4.68E+04
1.36E+04,Linear,0.23,50,4.9861,1.49E+01
1.92E+06,Linear,0.35,45,109.1509,2.14E+05
