# =========================================
# Dataset for regression
# Developed by: Shahab Fatemi
# Date: 2024-10-17
# Features: mass (m), acceleration (a), friction coefficient (mu)
# Target: Applied Force (F)
#
#     Mass is given in kilograms (kg),
#     Acceleration is in meters per second squared (m/s2),
#     Friction coefficient (mu) is unitless,
#     Force is calculated in Newtons (N)
#
# The data is generated for educational purposes only.
#
# MIT License — Shahab Fatemi (2025); 
# For use in the Machine Learning in Physics course, Umeå University, Sweden 
# See the full license text in the parent folder.
# =========================================
mass,acceleration,mu,F
1.833,4.456,0.070,8.713
0.500,5.000,0.178,2.735
2.278,0.100,0.092,1.164
2.056,1.189,0.157,3.524
1.611,3.911,0.070,6.527
1.389,0.100,0.135,0.839
1.611,0.100,0.048,0.312
0.500,2.278,0.157,1.356
0.500,1.733,0.048,0.962
2.056,3.911,0.200,9.622
2.278,1.733,0.200,5.676
0.944,0.100,0.005,0.060
0.722,1.733,0.092,1.336
0.500,1.189,0.157,0.885
2.278,4.456,0.005,10.263
0.944,1.733,0.005,1.562
1.389,4.456,0.200,7.244
2.056,3.911,0.048,8.318
1.167,3.911,0.178,5.452
0.944,4.456,0.178,4.925
1.389,0.644,0.178,1.824
1.833,3.911,0.092,7.918
1.167,5.000,0.027,6.048
1.611,5.000,0.048,8.411
1.389,5.000,0.178,7.656
0.722,1.733,0.178,1.818
0.500,3.367,0.048,1.688
1.389,3.911,0.027,5.544
1.833,2.278,0.157,5.356
0.722,1.189,0.178,1.358
2.500,3.911,0.135,11.060
1.611,1.189,0.005,1.999
2.278,1.733,0.178,5.348
2.500,3.367,0.048,9.002
0.500,3.367,0.092,1.953
2.278,0.644,0.048,2.151
0.500,0.644,0.092,0.487
0.722,2.822,0.135,2.616
0.500,2.278,0.005,1.148
1.389,5.000,0.048,7.271
1.167,3.911,0.200,5.488
0.722,4.456,0.157,3.424
2.056,3.367,0.070,7.160
0.944,0.644,0.135,1.096
2.056,5.000,0.027,10.346
0.500,2.822,0.048,1.571
2.278,3.911,0.178,10.472
1.167,1.733,0.157,2.558
2.056,2.278,0.178,6.123
2.056,0.644,0.200,2.916
2.056,1.189,0.092,3.312
0.944,5.000,0.113,5.124
2.056,0.100,0.027,0.451
0.944,2.822,0.027,2.664
2.056,1.189,0.135,3.536
1.389,3.367,0.027,4.833
1.389,2.822,0.113,4.512
2.500,5.000,0.135,13.714
2.278,0.644,0.113,2.397
2.278,3.367,0.048,7.950
0.944,3.367,0.200,3.784
0.944,0.100,0.027,0.198
0.722,3.367,0.027,2.659
1.611,2.822,0.113,5.088
2.056,1.189,0.200,4.004
1.389,0.100,0.027,0.121
2.056,0.100,0.048,0.442
1.389,3.911,0.135,6.176
2.278,1.189,0.027,2.824
2.056,3.911,0.027,8.360
0.722,0.100,0.113,0.497
1.611,3.367,0.113,6.040
1.167,4.456,0.200,6.152
0.500,0.100,0.027,0.166
2.500,1.733,0.157,5.809
2.500,4.456,0.048,11.475
1.611,3.367,0.027,5.540
0.500,4.456,0.005,2.352
0.944,0.100,0.113,0.505
0.500,1.733,0.092,1.064
2.056,3.911,0.113,8.750
1.611,0.100,0.178,1.349
1.389,1.189,0.157,2.418
1.389,2.822,0.092,4.399
1.167,3.367,0.135,4.499
0.500,5.000,0.027,2.272
1.167,1.733,0.200,2.784
2.278,5.000,0.157,12.728
1.611,3.367,0.092,5.742
1.167,2.278,0.113,3.339
2.056,3.911,0.135,9.019
0.944,2.278,0.027,2.187
0.500,0.644,0.070,0.400
1.167,0.644,0.113,1.366
1.833,0.100,0.005,0.301
1.167,4.456,0.157,5.880
0.944,3.911,0.070,4.092
0.722,3.367,0.135,2.559
2.278,2.278,0.005,5.060
2.500,5.000,0.048,12.835
1.833,2.278,0.135,5.153
2.278,0.644,0.178,3.045
1.389,4.456,0.092,6.672
2.500,4.456,0.005,11.218
1.611,0.100,0.092,0.644
2.278,1.733,0.027,4.304
0.944,2.278,0.070,2.308
1.611,3.367,0.135,6.352
2.278,3.911,0.113,9.873
1.611,3.367,0.048,5.678
1.833,4.456,0.135,9.044
0.722,4.456,0.200,3.773
2.056,4.456,0.048,9.529
1.833,5.000,0.200,10.595
1.389,3.911,0.113,6.093
1.833,4.456,0.027,8.409
1.611,0.644,0.005,1.107
0.500,2.822,0.178,1.676
1.389,3.911,0.092,5.699
1.611,3.367,0.005,5.475
2.278,2.822,0.135,7.544
2.056,2.278,0.157,5.860
0.944,2.822,0.048,2.913
0.500,1.189,0.027,0.538
1.167,0.644,0.070,1.092
1.389,2.822,0.200,4.939
0.722,3.367,0.005,2.524
0.944,3.911,0.135,3.971
2.500,2.822,0.113,8.174
0.722,5.000,0.027,3.737
1.167,4.456,0.113,5.709
2.278,0.100,0.113,1.195
1.389,0.644,0.070,1.239
1.389,5.000,0.027,7.096
1.167,2.278,0.070,2.871
2.056,3.367,0.200,8.531
1.167,0.100,0.178,0.950
1.833,3.367,0.027,6.411
0.722,1.733,0.005,1.248
1.833,3.367,0.070,6.626
2.278,3.911,0.027,9.128
0.500,5.000,0.200,2.866
1.167,3.911,0.048,4.751
0.500,4.456,0.157,2.387
1.389,2.822,0.178,4.876
1.167,1.733,0.005,2.005
0.944,0.644,0.092,0.885
1.389,3.367,0.135,5.517
0.722,1.189,0.027,1.061
1.833,0.644,0.092,1.679
0.500,1.189,0.005,0.673
2.056,0.100,0.005,0.162
0.500,3.911,0.027,2.109
0.722,0.100,0.135,0.538
0.944,3.911,0.005,3.575
2.278,3.367,0.005,7.848
1.389,1.733,0.113,3.013
0.722,0.100,0.048,0.101
